"Qualcomm Snapdragon 801 MSM8974AB","30.7"
"Nvidia Tegra 4","21.5"
"Mediatek MT6595M",""
"Qualcomm Snapdragon 801 MSM8974AA","36.5"
"Qualcomm Snapdragon 625","15.9"
"UNISOC Tiger T310","10"
"Qualcomm Snapdragon 439","10.1"
"JLQ JR510","6.7"
"HiSilicon Kirin 925","29.4"
"Qualcomm Snapdragon 800 MSM8974","25.4"
"Mediatek Helio P20 (LP4) MT6757","10.1"
"Samsung Exynos 5420 Octa","24.7"
"HiSilicon Kirin 920","25"
"Samsung Exynos 7880","8.2"
"HiSilicon Kirin 935","27.5"
"HiSilicon Kirin 659","19.3"
"Samsung Exynos 7884B","11.1"
"HiSilicon Kirin 658","7.9"
"Mediatek Helio X10 MT6795","7.1"
"Samsung Exynos 7870 Octa","5.5"
"HiSilicon Kirin 655","12.6"
"HiSilicon Kirin 650","11.3"
"HiSilicon Kirin 930","33.6"
"Mediatek Helio P35 MT6765","10.6"
"Mediatek Helio P22T MT8768T","7.7"
"Mediatek Helio P22 MT6762","5.8"
"Mediatek Helio P10 MT6755","21.6"
"Apple A7","27.8"
"MediaTek MT8168","7.4"
"Qualcomm Snapdragon 450","8.7"
"Samsung Exynos 5410 Octa","6"
"Intel Atom x3-C3440",""
"Samsung Exynos 5260 Hexa","28.4"
"Qualcomm Snapdragon 429","6.9"
"Mediatek Helio A22 MT6762M","7.3"
"Mediatek Helio A22 MT6761","6.6"
"Mediatek MT8766B","13.8"
"Mediatek Helio A20 MT6761D","4.7"
"Mediatek MT8135","26.6"
"Rockchip RK3566","5.1"
"Samsung Exynos 5250 Dual","38.8"
"Mediatek MT8752",""
"Mediatek MT6752","32.2"
"Samsung Exynos 7580 Octa","39.5"
"Qualcomm Snapdragon 617 MSM8952","44.8"
"Qualcomm Snapdragon 616 MSM8939v2","33.7"
"Qualcomm Snapdragon 615 MSM8939","26.3"
"HiSilicon Kirin 620","41.7"
"Rockchip RK3288","37"
"Mediatek MT6753","23.2"
"Mediatek MT6750S","5.4"
"Mediatek MT6750N","5.8"
"Mediatek MT6750","14.1"
"Mediatek MT6750T","5.8"
"Qualcomm Snapdragon 610 MSM8936",""
"MediaTek MT8163 V/A 1.5 GHz","6.2"
"Mediatek MT6592","25.4"
"Qualcomm Snapdragon 600 APQ8064T","25.7"
"Samsung Exynos 7578","33.7"
"HiSilicon Kirin 910T","26.4"
"MediaTek MT8163 V/B 1.3 GHz","4.1"
"MediaTek MT8161","29.7"
"Intel Atom x3-C3230RK","10.3"
"Qualcomm Snapdragon 435","18.7"
"Qualcomm Snapdragon 430 (MSM8937)","5.2"
"Qualcomm Snapdragon 415 MSM8929",""
"Qualcomm Snapdragon S4 Pro APQ8064A","22.8"
"Mediatek MT8732",""
"Mediatek MT8165","28.3"
"Mediatek MT6739","4.5"
"Mediatek MT6739WW","5.9"
"Mediatek MT6732","34.7"
"Mediatek MT6735","18.6"
"Qualcomm Snapdragon 425 (MSM8917)","4"
"Mediatek MT8735","4.7"
"Mediatek MT6737T","16.8"
"Mediatek MT6737","14.4"
"Rockchip RK3188","22"
"Samsung Exynos 7570 Quad","4.9"
"Qualcomm Snapdragon 410 MSM8916","16.3"
"Qualcomm Snapdragon 410 APQ8016","29.7"
"Apple S9 SiP","47.5"
"Samsung Exynos W930","29.1"
"HiSilicon Kirin 910","22.8"
"Intel Atom Z2760","37.9"
"Qualcomm Snapdragon 400 MSM8928","23.1"
"Qualcomm Snapdragon 215","4.2"
"Qualcomm Snapdragon 400 APQ8028","22.5"
"Mediatek MT6735P","1.9"
"Mediatek MT6735M","1.8"
"Marvell Armada PXA1908","10.3"
"Apple S8","27.7"
"Apple S7","28"
